6BD87D8B-8DD0-495B-8730-CB38325A6789,Annabelle Hodges,01/01/1970,2000,-5000.00
,,,,
5AE4DC9C-FBFFa-4FDB-8FD9-D99A5217D5CC,Chrystal White,02/01/1970,1981,-4961.01
6738E22A-8225-4232-B019-8F719AA584D,Tami Wilkins,03/01/1970,1962,-4922.02
2BF56F4E-C7C9-4F86-842C18A6DE0C93DD,Marcel Duffy,04/01/1970,1943,-4883.03
FDE5770#-941E-4182-9B4C-0F3687BA809F,Rosetta Houston,05/01/1970,1924,-4844.04
7813515A-A1C1-42FC-A1AB-2D04E300E383,,06/01/1970,1905,-4805.05
FF5DF3A8-DD02-449D-96F2-CE3AF0006D94,FaustinoBeasley9,07/01/1970,1886,-4766.06
9CF4D5A8-8F06-4C89-92E1-DFE0E44FD2BD,Daphne   Giles,08/01/1970,1867,-4727.07
04381652-1839-4282-B667-CDC68D28AB49,"Megan !""£$Estrada",09/01/1970,1848,-4688.08
8BDA16B9-F46D-4BC5-950D-C9B93B1C86CF,Brenton ^*)%Clements,10/01/1970,1829,-4649.09
17D164CE-31C7-4487-8745-590ABAC08778,Jerri Gill][{},11/01/1970,1810,-4610.10
8B522E2B-6FEC-4F43-9FDC-DA0835F561F8,"Effie, Cohen,",12/01/1970,1791,-4571.11
7C0008E8-AE04-4038-965D-F1792F0CC4D8,Mrs Estella Hancock,13/01/1970,1772,-4532.12
72131DB1-B841-4234-94A9-549630D9E62B,Mr.   Gregory Webster,14/01/1970,1753,-4493.13
3B588662-0A13-4496-9CE9-280223D03468,Carmen Strong,15/01/1970,1734,-4454.14
A48D484D-5D83-419E-8D9F-7D8915ABBD31,Hosea_Odom,16/01/1970,1715,-4415.15
A24CF116-62DA-4C38-A01E-1ACDF4AFD6EB,Issac-Miranda,17/01/1970,1696,-4376.16

2AF01685-3C15-47E3-8AA8-9D93FA2CE61C,Andreas=+Mann,18/01/1970,1677,-4337.17
C65AF2C6-916F-4EB2-A3A1-2E4AF0D3CADA,Kathy Bradley,19/01/1970,1658,-4298.18,123@4.com,
604C2EB1-896F-4356-8AEC-9B0C390ED0D0,Lilly Gilmore,20/01/1970,567@8.com,1639.00,-4259.19,,
A4B83C6C-BA7F-413A-AC7E-AD4D84731C47,"Helga, Zamora",21/01/1970,1620,-4220.20
A74138FC-B44D-4E8F-A4C3-B0DE70DE09D7
A2138CEC-E5DF-45AC-8F8D-287D18DB29CB,Norman Oconnell
CDDAEC66-8483-4681-9274-409F51895BC3,Valerie Bowers,24/01/1970
